epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.051991015672683716,0.10416611284017563,0.04801245406270027,0.09451774507761002
1,0.0010000000474974513,0.049090638756752014,0.1012820154428482,0.04780176281929016,0.09744589030742645
2,0.0010000000474974513,0.0488286130130291,0.09895601868629456,0.04787848889827728,0.09721236675977707
3,0.0010000000474974513,0.0486600436270237,0.09870874136686325,0.047727178782224655,0.095057412981987
4,0.0010000000474974513,0.04845049977302551,0.09841375797986984,0.047788143157958984,0.09662483632564545
5,0.0010000000474974513,0.04836514964699745,0.09778851270675659,0.047743428498506546,0.0943465381860733
6,0.0010000000474974513,0.04826313257217407,0.09687487781047821,0.047871265560388565,0.09490278363227844
7,0.0005000000237487257,0.04818879812955856,0.09768279641866684,0.04774533584713936,0.09580357372760773
8,0.0005000000237487257,0.0480802021920681,0.0968751534819603,0.04781636595726013,0.09480759501457214
9,0.0005000000237487257,0.048135776072740555,0.09705541282892227,0.047842346131801605,0.09416710585355759
10,0.0005000000237487257,0.04807174950838089,0.09651745855808258,0.04778394475579262,0.0953231230378151
11,0.0005000000237487257,0.04805441573262215,0.09698259830474854,0.0477384477853775,0.09581328928470612
12,0.0002500000118743628,0.048036228865385056,0.09675019234418869,0.04776880890130997,0.09499358385801315
13,0.0002500000118743628,0.0480622872710228,0.0962715819478035,0.047753144055604935,0.0955260843038559
14,0.0002500000118743628,0.04805203527212143,0.09682618826627731,0.04778965562582016,0.09656036645174026
15,0.0002500000118743628,0.04807373508810997,0.09615713357925415,0.047757603228092194,0.09533968567848206
16,0.0002500000118743628,0.04798012971878052,0.09624391049146652,0.047774799168109894,0.09468107670545578
17,0.0001250000059371814,0.04799352586269379,0.09610366821289062,0.047774359583854675,0.09550075232982635
18,0.0001250000059371814,0.047957420349121094,0.09627549350261688,0.04778115823864937,0.09529047459363937
19,0.0001250000059371814,0.04799950122833252,0.09655343741178513,0.047758039087057114,0.09534218907356262
20,0.0001250000059371814,0.0479484498500824,0.09616853296756744,0.047773655503988266,0.09494918584823608
21,0.0001250000059371814,0.04802558943629265,0.09632157534360886,0.04777035117149353,0.09547127783298492
22,6.25000029685907e-05,0.04802601411938667,0.09651567786931992,0.04777507856488228,0.09549853205680847
23,6.25000029685907e-05,0.047955580055713654,0.0965690091252327,0.047770459204912186,0.09543755650520325
